year,month,day,Białystok,Bydgoszcz,Gdańsk,Jelenia Góra,Kalisz,Katowice,Kościerzyna,Kraków,Kędzierzyn-Koźle,Legionowo,Lublin,Olsztyn,Piastów,Przemyśl,Płock,Radom,Siedlce,Szczecin,Warszawa,Wrocław,Zgierz,Zielona Góra,Złoty Potok,Łódź,Żyrardów
2015,1,1,27.125,21.441666666666666,14.966114347826085,82.2864,35.1875,58.977125,28.02419090909091,52.604166666666664,69.37327916666666,37.958333333333336,40.7817,21.644720958333334,42.699999999999996,23.0529125,27.655072458333333,38.991904416666664,28.285263291666666,34.19100652173913,32.948805125,40.77619791666667,27.098931692307694,30.40573913043478,39.0434625,44.02375,51.887464666666666
2015,1,2,22.666666666666668,6.44,7.1087541666666665,20.026297916666667,15.48695652173913,23.873545454545454,20.522926363636365,47.1875,28.698158333333335,24.400000000000002,32.70471666666666,18.241233208333334,28.313333333333333,31.540433333333336,15.764750791666666,22.328946291666668,19.710721791666668,10.40949125,19.73749378723404,17.489961304347826,20.6757245,14.984921666666667,24.478912500000003,25.71521739130435,35.250474958333335
2015,1,3,9.125,5.7844444444444445,6.05227875,7.896563749999999,6.004166666666666,13.804625,16.0479905,17.958333333333332,15.170954583333334,12.695833333333333,13.69135,6.379654958333333,17.712500000000002,39.08594166666666,7.705161541666667,10.924142125000001,9.877204333333333,11.226441063829787,9.600948354166666,11.423613829787234,14.083335208333333,13.820597916666665,10.2702375,12.3825,14.387464375
2015,1,4,8.333333333333334,7.300000000000001,6.729427916666666,5.17097875,8.369565217391305,11.9165,17.61314695652174,14.0,11.088740416666667,10.666666666666666,12.734108333333333,7.191451625,19.733333333333334,38.9263,8.278072125,13.769274166666667,6.5371445,10.16206375,7.7914030212765955,9.83881255319149,14.50472725,11.69953875,8.8321125,11.416521739130435,18.26329541666667
2015,1,5,7.583333333333333,14.906382978723405,8.13918,7.3041133333333335,18.345833333333335,26.1665,26.785080952380955,23.229166666666668,13.265421250000001,9.355555555555556,13.699566666666668,6.323507041666667,20.279166666666665,33.46022083333333,10.938707625,17.600006583333332,7.498255583333333,16.836916595744682,9.170410958333333,16.53052574468085,24.206106166666668,16.82988166666667,13.7539125,15.150416666666667,25.40954425
2015,1,6,20.625,22.79148936170213,10.2867225,43.07063208333333,36.304545454545455,51.282125,37.76804736842105,31.541666666666668,40.74977583333334,,22.770766666666663,18.848656375,27.224999999999998,40.131625,16.575564833333335,30.689556333333332,28.920708625000003,23.626371875,19.2808900625,37.30091458333333,27.503917625,23.7757,15.7941,22.89916666666667,62.410969
2015,1,7,20.583333333333332,33.145833333333336,22.493708333333334,30.879585833333334,44.55416666666667,54.45275,48.887795,81.52083333333333,52.61240833333333,30.15294117647059,37.73331666666667,29.21987625,34.12083333333333,46.85850416666667,31.519791071428568,26.174244333333334,19.51611675,28.24827,24.961819375,68.98751944444444,28.00250266666667,33.12752916666667,42.3077625,35.57583333333333,56.79605908333334
2015,1,8,37.541666666666664,19.311904761904763,14.2527025,36.22684458333333,39.63333333333333,28.517750000000003,45.14236666666667,59.4375,31.65138,58.67916666666667,38.020900000000005,46.73302629166667,61.15833333333333,13.0748875,55.868489958333335,43.96001430434783,38.84954291666667,16.76232,46.90045963829787,36.098625416666664,38.040797875,29.6764,33.639942857142856,44.42625,76.18114945833334
2015,1,9,17.458333333333332,6.1909090909090905,6.994770833333334,3.6832245833333332,8.295652173913044,10.455875,20.900208636363637,14.3125,11.21898375,18.420833333333334,18.91304166666667,10.59225975,29.15416666666667,14.306695416666665,14.555812416666667,14.167398291666666,15.056084499999999,10.711771739130436,13.269746875000001,8.149627083333334,14.549413541666667,10.188585,7.960418181818182,14.802916666666667,20.928300208333333
2015,1,10,10.25,7.935714285714286,7.348658749999999,2.0994699999999997,8.41904761904762,9.28025,20.94879476190476,14.145833333333334,11.157734285714286,13.4625,15.889308333333332,8.201976791666667,18.575,9.66032,13.400280958333333,12.909908416666667,12.129064,8.493358541666668,10.76261655319149,7.1130120833333335,16.76887959090909,10.4094875,7.782525,11.057916666666666,17.568850958333332
2015,1,11,7.541666666666667,5.319047619047619,8.0435425,5.173358333333334,5.904166666666666,9.885875,11.20143590909091,13.770833333333334,11.567907916666668,11.275,14.081641666666668,7.3579865416666665,15.525,8.101274166666666,9.394762166666666,9.119550368421052,7.931152833333333,8.601479583333333,8.48212675,7.598012916666666,12.160430545454545,11.75057625,6.5320875,8.996956521739131,12.567987590909091
2015,1,12,11.826086956521738,8.121739130434783,8.929024583333334,5.58024125,4.8,10.580875,23.285799047619047,15.083333333333334,10.036460416666666,13.333333333333334,15.503124999999999,8.674394375,8.35,7.113864166666667,12.225328708333334,13.316124611111112,10.512649833333333,8.716656666666667,11.996977354166667,11.706913333333334,17.82058534782609,10.131069166666666,8.490247826086957,13.496666666666668,20.946106416666666
2015,1,13,14.5,8.311363636363636,7.9754612499999995,6.186684583333334,,11.560250000000002,16.642826818181817,38.916666666666664,9.629745,17.30952380952381,22.273658333333334,13.442773208333334,16.056521739130435,11.117083333333333,10.666817958333333,10.589135125,15.933793375,6.890813617021277,12.438574916666667,11.62488375,10.942781166666665,11.000906818181818,12.363075,13.464347826086957,19.028965041666666
2015,1,14,19.916666666666668,12.132558139534884,7.366260833333333,8.699629166666666,,18.750304347826088,20.6189075,75.66666666666667,20.645016666666667,31.218181818181815,27.891990909090907,12.359376833333334,23.833333333333332,11.748845833333334,17.22439272727273,44.60545686666667,29.985079708333334,8.859902083333333,18.87058939583333,16.144768260869565,24.184905583333332,12.978035416666666,21.717225,19.834999999999997,23.961301083333336
2015,1,15,29.25,18.578125,10.974635,10.144675833333332,20.041115384615384,20.858375,26.695165000000003,50.75,17.4472595,33.75,54.02461904761905,23.723932458333334,31.370833333333334,42.515899999999995,25.761554541666666,45.997920791666665,34.48085579166666,8.844015,23.1423908125,18.745627916666667,20.942261958333333,14.207119999999998,17.109426315789474,26.24,27.374169166666665
2015,1,16,24.083333333333332,31.829545454545453,19.30829125,25.44891416666667,32.32151666666667,26.593999999999998,41.752931000000004,81.79166666666667,26.368795,34.55416666666667,27.45426666666667,28.561670304347825,38.8,19.809207083333334,40.38048416666667,39.5250025,29.623670125,12.630069375,29.89771627083333,39.73459166666667,29.209179666666667,33.0835875,21.950334782608696,34.56166666666667,45.097341
2015,1,17,26.708333333333332,42.50952380952381,21.46980458333333,43.78470875,42.516645833333335,35.749625,50.507890476190475,50.0,38.085745833333334,48.89166666666667,27.84866666666667,36.421269625,52.2875,20.856705833333333,42.02638820833334,58.163045350000004,30.481521375,18.062845208333332,39.874765625,46.61504791666667,41.458333333333336,32.1268875,28.947824999999998,44.39478260869566,50.320513
2015,1,18,50.583333333333336,36.55952380952381,17.228831666666668,37.94287083333333,79.02258333333334,36.78275,37.38322941176471,31.916666666666668,44.3778,93.34583333333335,36.05300833333333,27.417922416666666,81.38333333333334,39.42650416666667,55.69370375,55.795662375,79.1923825,25.353757916666666,48.79934389583334,43.5418625,49.041666666666664,43.13333333333333,20.1070125,53.42291666666667,79.60485595652175
2015,1,19,67.54166666666667,51.36222222222223,22.029687499999998,50.71450909090909,59.82639583333333,26.273375,46.60444090909091,35.208333333333336,45.3670875,59.61666666666667,28.4074,39.03874220833333,59.50833333333333,31.084520833333332,38.72486979166667,52.78545441666666,22.52256783333333,32.86275833333333,37.031618916666666,36.92107083333333,21.708333333333332,37.560425,16.399575000000002,34.123333333333335,47.95821470833334
2015,1,20,18.391304347826086,27.026470588235295,15.162395833333333,82.33866666666667,46.64959166666667,36.818374999999996,40.94395,41.833333333333336,56.81390833333333,26.441666666666666,20.313983333333333,22.834977666666664,25.804166666666664,32.73747083333333,22.57170508333333,44.74528575,17.26822866666667,35.29515416666667,19.211427395833333,74.84457916666666,20.791666666666668,55.1924875,17.3516625,25.685833333333335,41.36989570833333
2015,1,21,17.333333333333332,52.3,36.51913458333333,48.714978260869565,62.384479166666665,75.18650000000001,46.371094444444445,64.3125,81.28224583333333,67.31666666666666,27.26364,29.526511666666664,57.050000000000004,38.11607083333333,44.26462354166667,71.88570983333334,23.26524458333333,37.092508333333335,39.233368,51.057331250000004,50.25,38.87446666666667,45.642262499999994,62.61666666666667,88.24786354166667
2015,1,22,19.041666666666668,60.439130434782605,28.09714166666667,53.625794444444445,55.81945416666667,46.47275,65.04206818181818,40.583333333333336,59.495171428571425,48.479166666666664,26.810080000000003,47.217968875,46.57083333333333,37.4674125,43.72569925,50.89193645833333,20.151562125,40.8627972972973,34.087397208333336,52.53179375,29.125,49.4095375,18.5801625,68.73111111111112,69.78869912500001
2015,1,23,13.73913043478261,44.44090909090909,20.1666875,,45.57855416666666,28.94525,70.30905,31.558139534883722,34.06276086956522,18.283333333333335,26.677791666666668,27.639223333333334,29.383333333333336,41.14642916666667,28.397914166666666,43.293588666666665,19.98078608333333,32.7641875,19.35378125,55.53178541666667,26.416666666666668,36.177054166666665,18.5011875,,32.14624883333333
2015,1,24,20.333333333333332,41.772,20.590052916666668,,35.196216666666665,36.034625,77.97061111111111,32.916666666666664,37.74772083333333,36.7875,26.599733333333333,28.712831291666664,36.012499999999996,27.859814583333332,30.422521791666668,44.696734041666666,34.020158,20.916708333333332,27.066590645833333,38.91865,28.708333333333332,39.00525833333334,23.674049999999998,,40.895061958333336
